date_id,Biomass,Dam Hydro,Geothermal,Hard Coal,Lignite,Natural Gas,Non-renewable waste,Nuclear,Oil,Other fossil fuel,Other renewables,Pumped storage generation,Run-of-River Hydro,Solar,Wind offshore,Wind onshore
2022-10-31,3536196.36,142689.78,15482.64,3379667.94,9503866.65,5357587.72,866751.3607230559,2660297.191762014,42215.590000000004,383334.08,229741.06801282053,1003299.0,1445550.94,702214.98,2487456.64,6246334.46
2022-11-30,3600449.42,104572.48,14983.199999999999,4375462.2700000005,9188594.3,5420551.33,801034.7,2834561.45,118246.57,560191.4,283259.8,1048704.08,1192921.76,806047.81,2844502.75,6606564.830000001
2022-12-31,3725417.6,84164.55,15485.609999999999,4460712.12,8796248.379398907,5651202.94,871681.53,2710445.071922197,225903.43,721969.76,332512.9900091575,1074462.25,1180871.9880874318,655682.73,2706822.06,5726049.550000001
